execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
10,2023-06-02 11:52:16.953341,54.7,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.037494,51.9,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.121583,51.5,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.205817,52.6,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.290283,52.6,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.374572,52.9,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.458856,54.0,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.543163,52.2,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.627576,52.9,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.711645,53.3,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.795715,50.8,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.880040,52.6,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:17.964659,53.0,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.048072,50.8,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.131952,51.1,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.216177,50.8,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.300427,51.5,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.384598,51.9,86.6,25440,12,False,206.0,22,
13,2023-06-02 11:52:18.472518,53.9,86.6,25440,12,False,206.0,22,
11,2023-06-02 11:52:18.553564,51.2,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.636781,52.3,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:18.721475,51.1,86.6,25440,12,True,580.0,22,
10,2023-06-02 11:52:18.804968,51.5,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:18.888211,53.0,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:18.972450,51.1,86.6,25440,12,False,580.0,22,
9,2023-06-02 11:52:19.056388,50.8,86.6,25440,12,False,580.0,22,
